0,26,27,59,60,305,306,338,339,365
1,25,28,58,61,304,307,337,340,364
2,24,29,57,62,303,308,336,341,363
3,23,30,56,63,302,309,335,342,362
4,22,31,55,64,301,310,334,343,361
5,21,32,54,65,300,311,333,344,360
6,20,33,53,66,299,312,332,345,359
7,19,34,52,67,298,313,331,346,358
8,18,35,51,68,297,314,330,347,357
9,17,36,50,69,296,315,329,348,356
10,16,37,49,70,295,316,328,349,355
11,15,38,48,71,294,317,327,350,354
-1,14,39,47,72,293,318,326,351,-1
-1,13,40,46,73,292,319,325,352,-1
-1,12,41,45,74,291,320,324,353,-1
-1,-1,42,44,75,290,321,323,-1,-1
-1,-1,-1,43,76,289,322,-1,-1,-1
-1,-1,-1,-1,77,288,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
116,-1,-1,-1,-1,-1,-1,-1,-1,221
117,115,-1,-1,-1,-1,-1,-1,220,222
118,114,95,-1,-1,-1,-1,200,219,223
119,113,96,94,-1,-1,199,201,218,224
120,112,97,93,78,183,198,202,217,225
121,111,98,92,79,184,197,203,216,226
122,110,99,91,80,185,196,204,215,227
123,109,100,90,81,186,195,205,214,228
124,108,101,89,82,187,194,206,213,229
125,107,102,88,83,188,193,207,212,230
126,106,103,87,84,189,192,208,211,231
127,105,104,86,85,190,191,209,210,232
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
128,149,150,171,172,277,276,255,254,233
129,148,151,170,173,278,275,256,253,234
130,147,152,169,174,279,274,257,252,235
131,146,153,168,175,280,273,258,251,236
132,145,154,167,176,281,272,259,250,237
133,144,155,166,177,282,271,260,249,238
134,143,156,165,178,283,270,261,248,239
135,142,157,164,179,284,269,262,247,240
136,141,158,163,180,285,268,263,246,241
137,140,159,162,181,286,267,264,245,242
138,139,160,161,182,287,266,265,244,243
